#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
2 2.25 2 2.5 2.5 2.75 7097.613577163555 4.017821202571719
2 2.25 2 2.5 2.75 3 4261.449839144832 1.819814306060031
2 2.25 2 2.5 3 3.25 2775.355611383233 1.375613828819224
2 2.25 2 2.5 3.25 3.5 1959.419539718587 1.179746023021111
2 2.25 2 2.5 3.5 3.75 1545.158892698114 0.9963038043818763
2 2.25 2 2.5 3.75 4 1282.098679448044 0.8371009097140814
2 2.25 2 2.5 4 4.25 1073.700447441869 0.7010826893902049
2 2.25 2 2.5 4.25 4.5 906.4881882528168 0.5868048139291204
2 2.25 2 2.5 4.5 4.75 771.0391523505128 0.49167307222001
2 2.25 2 2.5 4.75 5 660.3496443550674 0.4127898415546269
2 2.25 2 2.5 5 5.25 569.1502736770685 0.3833424520245217
2 2.25 2 2.5 5.25 5.5 493.4374179107257 0.3616063469066262
2 2.25 2 2.5 5.5 5.75 430.1352910346825 0.340242037547398
2 2.25 2 2.5 5.75 6 376.8599020002795 0.3193858143379202
2 2.25 2 2.5 6 6.25 331.7462147212071 0.2995411224176223
2 2.25 2 2.5 6.25 6.5 293.3235960604636 0.280566750949788
2 2.25 2 2.5 6.5 6.75 260.4229743263293 0.1308421726492384
2 2.25 2 2.5 6.75 7 232.1072283290199 0.1121835249799688
2 2.25 2 2.5 7 7.25 207.6216738658055 0.09638423071353941
2 2.25 2 2.5 7.25 7.5 186.3530776123561 0.08297018995284589
2 2.25 2 2.5 7.5 7.75 167.80093149082 0.07154213862833103
2 2.25 2 2.5 7.75 8 151.5535659232666 0.06178203982932473
2 2.25 2 2.5 8 8.25 137.2711920989374 0.05341974789752157
2 2.25 2 2.5 8.25 8.5 124.6712689463679 0.04623935644846711
2 2.25 2 2.5 8.5 8.75 113.518125820913 0.0400560090234876
2 2.25 2 2.5 8.75 9 103.6139267468668 0.03471889606011302
2 2.25 2 2.5 9 9.25 94.79205827022325 0.03010349160852854
2 2.25 2 2.5 9.25 9.5 86.91152825511034 0.02610083011826703
2 2.25 2 2.5 9.5 9.75 79.8524101198899 0.02262449274350331
2 2.25 2 2.5 9.75 10 73.51261517602136 0.01959915789703359
2 2.25 2 2.5 10 20 982.2855133065192 0.2449767623656953
2 2.25 2.5 3 0 0.25 66708.41971857578 1136.087392449852
2 2.25 2.5 3 0.25 0.5 191188.144741236 104.9172057743615
2 2.25 2.5 3 0.5 0.75 290008.9583177866 29.35119165527647
2 2.25 2.5 3 0.75 1 352339.4250318325 348.3130151760614
2 2.25 2.5 3 1 1.25 370467.8523403303 73.16541725397198
2 2.25 2.5 3 1.25 1.5 325564.7739443293 15.06344480504169
2 2.25 2.5 3 1.5 1.75 234924.2738340406 98.50370081719167
2 2.25 2.5 3 1.75 2 139789.9716821826 10.49746959382244
2 2.25 2.5 3 2 2.25 68698.43821425036 5.894448269116496
2 2.25 2.5 3 2.25 2.5 28057.95353192023 21.08383238551562
2 2.25 2.5 3 2.5 2.75 9946.75662518908 3.169101773789069
2 2.25 2.5 3 2.75 3 3697.539507718653 2.111566011916581
2 2.25 2.5 3 3 3.25 2052.92927584734 1.936000590939357
2 2.25 2.5 3 3.25 3.5 1766.181428960337 1.763159497144414
2 2.25 2.5 3 3.5 3.75 1602.476870384279 1.597727845875633
2 2.25 2.5 3 3.75 4 1329.185394296634 0.4161661243797425
2 2.25 2.5 3 4 4.25 1110.364622870361 0.3636839382402286
2 2.25 2.5 3 4.25 4.5 935.0679773972951 0.3136678409501883
2 2.25 2.5 3 4.5 4.75 793.3036925440862 0.2685943882022457
2 2.25 2.5 3 4.75 5 677.6490276977477 0.2291598630257567
2 2.25 2.5 3 5 5.25 582.5254691941657 0.1952438912675234
2 2.25 2.5 3 5.25 5.5 503.6954364724202 0.1663586355782058
